Rv1603	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase(hisA)
UP_SEQ_FEATURE	880063469$chain:Uncharacterized protein Rv0104/MT0113,880079663$nucleotide phosphate-binding region:cNMP,880089084$transmembrane region,

Rv0122	hypothetical protein(Rv0122)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0225	hypothetical protein(Rv0225)
COG_ONTOLOGY	120000032$Cell envelope biogenesis, outer membrane,
GOTERM_MF_DIRECT	460002885$GO:0016740~transferase activity,
INTERPRO	530001066$IPR001296:Glycosyl transferase, family 1,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870001085$Transferase,

Rv0332	hypothetical protein(Rv0332)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460005313$GO:0046872~metal ion binding,
INTERPRO	530009333$IPR010872:MDMPI C-terminal,530014735$IPR017517:Conserved hypothetical protein CHP03083, actinobacterial-type,530020639$IPR024344:Mycothiol-dependent maleylpyruvate isomerase, metal-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0340	hypothetical protein(Rv0340)
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0378	hypothetical protein(Rv0378)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0393	hypothetical protein(Rv0393)
INTERPRO	530002957$IPR003615:HNH nuclease,530003168$IPR003870:Domain of unknown function DUF222,
SMART	790000440$SM00507:HNHc,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0397A	hypothetical protein(Rv0397A)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv0603	hypothetical protein(Rv0603)
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv0678	hypothetical protein(Rv0678)
GOTERM_BP_DIRECT	300001490$GO:0006351~transcription, DNA-templated,300001494$GO:0006355~regulation of transcription, DNA-templated,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000331$DNA-binding,870000928$Reference proteome,870000937$Repressor,870001077$Transcription,870001079$Transcription regulation,

Rv0698	hypothetical protein(Rv0698)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0745	hypothetical protein(Rv0745)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0750	hypothetical protein(Rv0750)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv0877	hypothetical protein(Rv0877)
INTERPRO	530017989$IPR021391:Protein of unknown function DUF3027,
UP_KEYWORDS	870000030$Acetylation,870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063497$chain:Uncharacterized protein Rv0877/MT0900,

Rv0906	hypothetical protein(Rv0906)
GOTERM_MF_DIRECT	460001672$GO:0008270~zinc ion binding,460006819$GO:0070290~N-acylphosphatidylethanolamine-specific phospholipase D activity,
INTERPRO	530001053$IPR001279:Beta-lactamase-like,530021093$IPR024884:N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D,
PIR_SUPERFAMILY	700003052$PIRSF038896:phosphodiesterase, NAPE-PLD type,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,
UP_SEQ_FEATURE	880063511$chain:Uncharacterized protein Rv0906/MT0929,880088358$signal peptide,

Rv0918	hypothetical protein(Rv0918)
GOTERM_BP_DIRECT	300001494$GO:0006355~regulation of transcription, DNA-templated,300011047$GO:0052572~response to host immune response,
INTERPRO	530009429$IPR010985:Ribbon-helix-helix,530012478$IPR014795:Vibrio phage ICP1, Orf50,530013837$IPR016547:Uncharacterised conserved protein UCP009158,
PIR_SUPERFAMILY	700001256$PIRSF009158:uncharacterized conserved protein,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1052	hypothetical protein(Rv1052)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1073	hypothetical protein(Rv1073)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1117	hypothetical protein(Rv1117)
GOTERM_MF_DIRECT	460000373$GO:0003824~catalytic activity,460000845$GO:0004497~monooxygenase activity,
INTERPRO	530006087$IPR007138:Antibiotic biosynthesis monooxygenase,530009445$IPR011008:Dimeric alpha-beta barrel,
UP_KEYWORDS	870000251$Complete proteome,870000736$Monooxygenase,870000802$Oxidoreductase,870000928$Reference proteome,

Rv1205	hypothetical protein(Rv1205)
GOTERM_BP_DIRECT	300002861$GO:0009691~cytokinin biosynthetic process,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
GOTERM_MF_DIRECT	460002930$GO:0016799~hydrolase activity, hydrolyzing N-glycosyl compounds,
INTERPRO	530004429$IPR005269:Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG,
UP_KEYWORDS	870000251$Complete proteome,870000285$Cytokinin biosynthesis,870000516$Hydrolase,870000610$Isopeptide bond,870000928$Reference proteome,870001125$Ubl conjugation,

Rv1211	hypothetical protein(Rv1211)
GOTERM_BP_DIRECT	300006471$GO:0033670~regulation of NAD+ kinase activity,300010688$GO:0051336~regulation of hydrolase activity,
GOTERM_MF_DIRECT	460001527$GO:0005509~calcium ion binding,
INTERPRO	530018061$IPR021465:Protein of unknown function DUF3117,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1289	hypothetical protein(Rv1289)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063542$chain:Uncharacterized protein Rv1289/MT1327,

Rv1339	hypothetical protein(Rv1339)
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
INTERPRO	530001053$IPR001279:Beta-lactamase-like,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063557$chain:Uncharacterized protein Rv1339/MT1380,

Rv1413	hypothetical protein(Rv1413)
COG_ONTOLOGY	120000007$Amino acid transport and metabolism,
INTERPRO	530001329$IPR001608:Alanine racemase, N-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063577$chain:Uncharacterized protein Rv1413/MT1456.1,

Rv1502	hypothetical protein(Rv1502)
INTERPRO	530019735$IPR023296:Glycosyl hydrolase, five-bladed beta-propellor domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063591$chain:Uncharacterized protein Rv1502/MT1551,880087857$sequence conflict,

Rv1510	hypothetical protein(Rv1510)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460005305$GO:0046812~host cell surface binding,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880063594$chain:Uncharacterized protein Rv1510/MT1558/MT1560,880089084$transmembrane region,

Rv1535	hypothetical protein(Rv1535)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1752	hypothetical protein(Rv1752)
COG_ONTOLOGY	120000073$General function prediction only,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1866	hypothetical protein(Rv1866)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460002885$GO:0016740~transferase activity,
INTERPRO	530002993$IPR003673:CoA-transferase family III,530019997$IPR023606:CoA-transferase family III domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870001085$Transferase,

Rv1867	hypothetical protein(Rv1867)
GOTERM_BP_DIRECT	300001712$GO:0006635~fatty acid beta-oxidation,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
GOTERM_MF_DIRECT	460000499$GO:0003985~acetyl-CoA C-acetyltransferase activity,460000502$GO:0003988~acetyl-CoA C-acyltransferase activity,
INTERPRO	530013408$IPR016039:Thiolase-like,
KEGG_PATHWAY	550041914$mtu00071:Fatty acid degradation,550041915$mtu00072:Synthesis and degradation of ketone bodies,550041926$mtu00280:Valine, leucine and isoleucine degradation,550041930$mtu00310:Lysine degradation,550041938$mtu00362:Benzoate degradation,550041940$mtu00380:Tryptophan metabolism,550041963$mtu00620:Pyruvate metabolism,550041970$mtu00630:Glyoxylate and dicarboxylate metabolism,550041972$mtu00640:Propanoate metabolism,550041975$mtu00650:Butanoate metabolism,550041988$mtu00900:Terpenoid backbone biosynthesis,550041998$mtu01100:Metabolic pathways,550041999$mtu01110:Biosynthesis of secondary metabolites,550042000$mtu01120:Microbial metabolism in diverse environments,550042001$mtu01130:Biosynthesis of antibiotics,550042002$mtu01200:Carbon metabolism,550042004$mtu01212:Fatty acid metabolism,550042011$mtu02020:Two-component system,
UP_KEYWORDS	870000039$Acyltransferase,870000251$Complete proteome,870000928$Reference proteome,870001085$Transferase,

Rv1873	hypothetical protein(Rv1873)
INTERPRO	530012612$IPR014937:Protein of unknown function DUF1810,
PIR_SUPERFAMILY	700001241$PIRSF008546:uncharacterized conserved protein,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000928$Reference proteome,

Rv1904	hypothetical protein(Rv1904)
GOTERM_BP_DIRECT	300001494$GO:0006355~regulation of transcription, DNA-templated,
GOTERM_MF_DIRECT	460005178$GO:0045152~antisigma factor binding,
INTERPRO	530002182$IPR002645:STAS domain,530002981$IPR003658:Anti-sigma factor antagonist,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2000	hypothetical protein(Rv2000)
COG_ONTOLOGY	120000064$Energy production and conversion,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460002784$GO:0016491~oxidoreductase activity,
INTERPRO	530020127$IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063633$chain:Uncharacterized protein Rv2000/MT2056,

Rv2016	hypothetical protein(Rv2016)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2085	hypothetical protein(Rv2085)
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063655$chain:Uncharacterized protein Rv2085/MT2147,

Rv2132	hypothetical protein(Rv2132)
GOTERM_BP_DIRECT	300001494$GO:0006355~regulation of transcription, DNA-templated,
INTERPRO	530001774$IPR002145:Ribbon-helix-helix protein, copG,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2191	hypothetical protein(Rv2191)
GOTERM_BP_DIRECT	300001427$GO:0006260~DNA replication,300001966$GO:0006974~cellular response to DNA damage stimulus,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,380000544$GO:0009380~excinuclease repair complex,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,460000435$GO:0003887~DNA-directed DNA polymerase activity,
INTERPRO	530000239$IPR000305:GIY-YIG nuclease superfamily,530005138$IPR006054:DNA polymerase III, epsilon subunit,530010443$IPR012337:Ribonuclease H-like domain,530011444$IPR013520:Exonuclease, RNase T/DNA polymerase III,
KEGG_PATHWAY	550041920$mtu00230:Purine metabolism,550041921$mtu00240:Pyrimidine metabolism,550041998$mtu01100:Metabolic pathways,550042015$mtu03030:DNA replication,550042021$mtu03430:Mismatch repair,550042022$mtu03440:Homologous recombination,
SMART	790000400$SM00465:GIYc,790000414$SM00479:EXOIII,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063660$chain:Uncharacterized protein Rv2191/MT2247,

Rv2227	hypothetical protein(Rv2227)
INTERPRO	530015667$IPR018655:Protein of unknown function DUF2086,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063671$chain:Uncharacterized protein Rv2227/MT2286,

Rv2248	hypothetical protein(Rv2248)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
INTERPRO	530009714$IPR011335:Restriction endonuclease  type II-like,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063679$chain:Uncharacterized protein Rv2248/MT2308,

Rv2283	hypothetical protein(Rv2283)
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063687$chain:Uncharacterized protein Rv2283/MT2341.1,

Rv2302	hypothetical protein(Rv2302)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,
INTERPRO	530009497$IPR011067:Plasmid maintenance toxin/Cell growth inhibitor,530012703$IPR015035:Domain of unknown function DUF1918,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063694$chain:Uncharacterized protein Rv2302/MT2359,880075986$compositionally biased region:Ala-rich,880079268$helix,880089040$strand,880089085$turn,

Rv2422	hypothetical protein(Rv2422)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2451	hypothetical protein(Rv2451)
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2472	hypothetical protein(Rv2472)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2507	hypothetical protein(Rv2507)
GOTERM_BP_DIRECT	300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530007437$IPR008693:Actinomycetales membrane,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv2616	hypothetical protein(Rv2616)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
INTERPRO	530012265$IPR014457:Uncharacterised conserved protein UCP010260,530015950$IPR018960:Domain of unknown function DUF1990,
PIR_SUPERFAMILY	700001318$PIRSF010260:uncharacterized conserved protein,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2618	hypothetical protein(Rv2618)
COG_ONTOLOGY	120000115$Transcription,
INTERPRO	530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2700	hypothetical protein(Rv2700)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530023219$IPR027381:Putative LytR/CpsA/Psr regulator, C-terminal domain,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv2807	hypothetical protein(Rv2807)
GOTERM_BP_DIRECT	300003867$GO:0015074~DNA integration,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000329$GO:0003676~nucleic acid binding,
INTERPRO	530001309$IPR001584:Integrase, catalytic core,530010443$IPR012337:Ribonuclease H-like domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv2843	hypothetical protein(Rv2843)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
INTERPRO	530005363$IPR006311:Twin-arginine translocation pathway, signal sequence,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870000992$Signal,870001092$Transmembrane,

Rv2998	hypothetical protein(Rv2998)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3033	hypothetical protein(Rv3033)
INTERPRO	530021812$IPR025637:Domain of unknown function DUF4333,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870000992$Signal,

Rv3067	hypothetical protein(Rv3067)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530006838$IPR007969:Domain of unknown function DUF732,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3090	hypothetical protein(Rv3090)
COG_ONTOLOGY	120000095$Posttranslational modification, protein turnover, chaperones,
GOTERM_CC_DIRECT	380000189$GO:0005576~extracellular region,380000407$GO:0005886~plasma membrane,380000408$GO:0005887~integral component of plasma membrane,
INTERPRO	530000906$IPR001107:Band 7 protein,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3182	hypothetical protein(Rv3182)
INTERPRO	530007884$IPR009241:Addiction module killer protein,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,870001074$Toxin,

Rv3188	hypothetical protein(Rv3188)
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530020754$IPR024467:Domain of unknown function DUF2384,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3190A	hypothetical protein(Rv3190A)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3235	hypothetical protein(Rv3235)
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3254	hypothetical protein(Rv3254)
COG_ONTOLOGY	120000047$Coenzyme metabolism / Energy production and conversion,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460002784$GO:0016491~oxidoreductase activity,
INTERPRO	530020127$IPR023753:Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3269	hypothetical protein(Rv3269)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
INTERPRO	530008541$IPR009963:Protein of unknown function DUF1490,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3466	hypothetical protein(Rv3466)
INTERPRO	530003168$IPR003870:Domain of unknown function DUF222,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,
UP_SEQ_FEATURE	880063773$chain:Uncharacterized protein Rv3466/MT3572,880087857$sequence conflict,

Rv3488	hypothetical protein(Rv3488)
INTERPRO	530004321$IPR005149:Transcription regulator PadR N-terminal,530010248$IPR011991:Winged helix-turn-helix DNA-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3489	hypothetical protein(Rv3489)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3577	hypothetical protein(Rv3577)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
INTERPRO	530001053$IPR001279:Beta-lactamase-like,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3651	hypothetical protein(Rv3651)
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000928$Reference proteome,

Rv3683	hypothetical protein(Rv3683)
COG_ONTOLOGY	120000073$General function prediction only,
INTERPRO	530020918$IPR024654:Calcineurin-like phosphoesterase superfamily domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3691	hypothetical protein(Rv3691)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530021821$IPR025646:Domain of unknown function DUF4350,
UP_KEYWORDS	870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3719	hypothetical protein(Rv3719)
COG_ONTOLOGY	120000064$Energy production and conversion,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460002816$GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,460006265$GO:0050660~flavin adenine dinucleotide binding,
INTERPRO	530005169$IPR006094:FAD linked oxidase, N-terminal,530013503$IPR016164:FAD-linked oxidase-like, C-terminal,530013504$IPR016166:FAD-binding, type 2,530013506$IPR016169:CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3732	hypothetical protein(Rv3732)
GOTERM_CC_DIRECT	380000408$GO:0005887~integral component of plasma membrane,
INTERPRO	530016205$IPR019283:Protein of unknown function DUF2330,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870000992$Signal,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3748	hypothetical protein(Rv3748)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3766	hypothetical protein(Rv3766)
INTERPRO	530015048$IPR017853:Glycoside hydrolase, superfamily,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3776	hypothetical protein(Rv3776)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
INTERPRO	530002957$IPR003615:HNH nuclease,530003168$IPR003870:Domain of unknown function DUF222,
SMART	790000440$SM00507:HNHc,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3847	hypothetical protein(Rv3847)
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv3850	hypothetical protein(Rv3850)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,
UP_KEYWORDS	870000244$Coiled coil,870000251$Complete proteome,870000928$Reference proteome,

Rv3863	hypothetical protein(Rv3863)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530007679$IPR008984:SMAD/FHA domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1641	initiation factor IF-3(infC)
GOTERM_BP_DIRECT	300006120$GO:0032790~ribosome disassembly,300007714$GO:0040007~growth,
GOTERM_CC_DIRECT	380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000360$GO:0003743~translation initiation factor activity,460004869$GO:0043022~ribosome binding,
INTERPRO	530001060$IPR001288:Translation initiation factor 3,530016682$IPR019813:Translation initiation factor 3, conserved site,530016683$IPR019814:Translation initiation factor 3, N-terminal,530016684$IPR019815:Translation initiation factor 3, C-terminal,
UP_KEYWORDS	870000251$Complete proteome,870000288$Cytoplasm,870000589$Initiation factor,870000896$Protein biosynthesis,870000928$Reference proteome,
UP_SEQ_FEATURE	880053879$chain:Translation initiation factor IF-3,

Rv3628	inorganic pyrophosphatase(ppa)
GOTERM_BP_DIRECT	300001837$GO:0006796~phosphate-containing compound metabolic process,
GOTERM_CC_DIRECT	380000294$GO:0005737~cytoplasm,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000058$GO:0000287~magnesium ion binding,460000789$GO:0004427~inorganic diphosphatase activity,
INTERPRO	530007010$IPR008162:Inorganic pyrophosphatase,
KEGG_PATHWAY	550041918$mtu00190:Oxidative phosphorylation,
UP_KEYWORDS	870000010$3D-structure,870000251$Complete proteome,870000288$Cytoplasm,870000516$Hydrolase,870000670$Magnesium,870000691$Metal-binding,870000928$Reference proteome,870000970$Secreted,
UP_SEQ_FEATURE	880021643$chain:Inorganic pyrophosphatase,880079268$helix,880079530$metal ion-binding site:Magnesium 1,880079533$metal ion-binding site:Magnesium 2,880089040$strand,880089085$turn,

Rv3798	insertion sequence element IS1557 transposase(Rv3798)
COG_ONTOLOGY	120000057$DNA replication, recombination, and repair,
GOTERM_BP_DIRECT	300001469$GO:0006310~DNA recombination,300005826$GO:0032196~transposition,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000407$GO:0005886~plasma membrane,
GOTERM_MF_DIRECT	460000330$GO:0003677~DNA binding,
INTERPRO	530002116$IPR002560:Transposase IS204/IS1001/IS1096/IS1165,
UP_KEYWORDS	870000251$Complete proteome,870000326$DNA recombination,870000331$DNA-binding,870000928$Reference proteome,870001105$Transposable element,870001106$Transposition,
UP_SEQ_FEATURE	880054391$chain:Transposase for insertion sequence element IS1557,880087857$sequence conflict,

Rv2874	integral membrane C-type cytochrome biogenesis protein DipZ(dipZ)
GOTERM_BP_DIRECT	300004295$GO:0017004~cytochrome complex assembly,300008997$GO:0045454~cell redox homeostasis,
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
GOTERM_MF_DIRECT	460002707$GO:0016209~antioxidant activity,460002784$GO:0016491~oxidoreductase activity,
INTERPRO	530000707$IPR000866:Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant,530003141$IPR003834:Cytochrome c assembly protein, transmembrane domain,530007674$IPR008979:Galactose-binding domain-like,530010442$IPR012336:Thioredoxin-like fold,530011669$IPR013766:Thioredoxin domain,
UP_KEYWORDS	870000010$3D-structure,870000190$Cell membrane,870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,
UP_SEQ_FEATURE	880037990$chain:Protein dipZ,880078910$domain:Thioredoxin,880079268$helix,880087857$sequence conflict,880089040$strand,880089084$transmembrane region,880089085$turn,

Rv0246	integral membrane protein(Rv0246)
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000668$GO:0016021~integral component of membrane,
INTERPRO	530017485$IPR020846:Major facilitator superfamily domain,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1140	integral membrane protein(Rv1140)
GOTERM_CC_DIRECT	380000407$GO:0005886~plasma membrane,380000668$GO:0016021~integral component of membrane,
INTERPRO	530002995$IPR003675:CAAX amino terminal protease,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv1678	integral membrane protein(Rv1678)
GOTERM_CC_DIRECT	380000668$GO:0016021~integral component of membrane,
UP_KEYWORDS	870000251$Complete proteome,870000683$Membrane,870000928$Reference proteome,870001092$Transmembrane,870001094$Transmembrane helix,

Rv3224	iron-regulated short-chain dehydrogenase/reductase(Rv3224)
GOTERM_BP_DIRECT	300003076$GO:0010039~response to iron ion,
GOTERM_CC_DIRECT	380000220$GO:0005618~cell wall,380000365$GO:0005829~cytosol,380000407$GO:0005886~plasma membrane,
INTERPRO	530001946$IPR002347:Glucose/ribitol dehydrogenase,530013409$IPR016040:NAD(P)-binding domain,
UP_KEYWORDS	870000251$Complete proteome,870000928$Reference proteome,

Rv1076	lipase LipU(lipU)
COG_ONTOLOGY	120000084$Lipid metabolism,
